strain	SRR11059940|China:Wuhan	SRR11059942|China:Wuhan	SRR11059944|China:Wuhan	SRR11059945|China:Wuhan	SRR11059946|China:Wuhan	SRR11059947|China:Wuhan	SRR11092062|China: Wuhan	SRR11177792|Nepal: Kathmandu	SRR11241254|USA: Seattle\, WA	SRR11241255|USA: Seattle\, WA	SRR11247076|USA: WA	SRR11247077|USA: WA	SRR11247078|USA: WA	SRR11278091|USA:WA	SRR11278164|USA:WA	SRR11278166|USA:WA	SRR11278167|USA:WA	SRR11397717|Australia: Melbourne\, Victoria	SRR11397719|Australia: Melbourne\, Victoria	SRR11397720|Australia: Melbourne\, Victoria	SRR11397728|Australia: Melbourne\, Victoria	SRR11410528|USA	SRR11410536|USA	SRR11426414|Germany: Starnberg	SRR11426415|Germany: Starnberg	SRR11426417|Germany: Starnberg	SRR11426418|Germany: Starnberg	SRR11454607|China: Hubei	SRR11454608|China: Hubei	SRR11454609|China: Hubei	SRR11454613|China: Hubei	SRR11454614|China: Hubei	SRR11454615|China: Hubei	SRR11476445|USA: Washington	SRR11479027|USA	SRR11479029|USA	SRR11479031|USA	SRR11479037|USA	SRR11479040|USA	SRR11479044|USA	SRR11479046|USA	SRR11491744|USA	SRR11491746|USA	SRR11491747|USA	SRR11491748|USA	SRR11491753|USA	SRR11491756|USA	SRR11491757|USA	SRR11491758|USA	SRR11491759|USA	SRR11491762|USA	SRR11491765|USA	SRR11491766|USA	SRR11491767|USA	SRR11491769|USA	SRR11491771|USA	SRR11491772|USA	SRR11494453|Australia: Victoria	SRR11494456|Australia: Victoria	SRR11494460|Australia: Victoria	SRR11494461|Australia: Victoria	SRR11494466|Australia: Victoria	SRR11494467|Australia: Victoria	SRR11494474|Australia: Victoria	SRR11494475|Australia: Victoria	SRR11494479|Australia: Victoria	SRR11494480|Australia: Victoria	SRR11494485|Australia: Victoria	SRR11494486|Australia: Victoria	SRR11494493|Australia: Victoria	SRR11494497|Australia: Victoria	SRR11494498|Australia: Victoria	SRR11494499|Australia: Victoria	SRR11494500|Australia: Victoria	SRR11494505|Australia: Victoria	SRR11494507|Australia: Victoria	SRR11494509|Australia: Victoria	SRR11494511|Australia: Victoria	SRR11494513|Australia: Victoria	SRR11494514|Australia: Victoria	SRR11494519|Australia: Victoria	SRR11494520|Australia: Victoria	SRR11494523|Australia: Victoria	SRR11494524|Australia: Victoria	SRR11494536|Australia: Victoria	SRR11494538|Australia: Victoria	SRR11494544|Australia: Victoria	SRR11494547|Australia: Victoria	SRR11494551|Australia: Victoria	SRR11494556|Australia: Victoria	SRR11494557|Australia: Victoria	SRR11494559|Australia: Victoria	SRR11494565|Australia: Victoria	SRR11494567|Australia: Victoria	SRR11494568|Australia: Victoria	SRR11494569|Australia: Victoria	SRR11494577|Australia: Victoria	SRR11494578|Australia: Victoria	SRR11494581|Australia: Victoria	SRR11494582|Australia: Victoria	SRR11494583|Australia: Victoria	SRR11494585|Australia: Victoria	SRR11494588|Australia: Victoria	SRR11494589|Australia: Victoria	SRR11494591|Australia: Victoria	SRR11494593|Australia: Victoria	SRR11494594|Australia: Victoria	SRR11494598|Australia: Victoria	SRR11494601|Australia: Victoria	SRR11494603|Australia: Victoria	SRR11494606|Australia: Victoria	SRR11494607|Australia: Victoria	SRR11494608|Australia: Victoria	SRR11494609|Australia: Victoria	SRR11494612|Australia: Victoria	SRR11494613|Australia: Victoria	SRR11494619|Australia: Victoria	SRR11494620|Australia: Victoria	SRR11494623|Australia: Victoria	SRR11494626|Australia: Victoria	SRR11494633|Australia: Victoria	SRR11494634|Australia: Victoria	SRR11494636|Australia: Victoria	SRR11494638|Australia: Victoria	SRR11494641|Australia: Victoria	SRR11494644|Australia: Victoria	SRR11494648|Australia: Victoria	SRR11494649|Australia: Victoria	SRR11494650|Australia: Victoria	SRR11494651|Australia: Victoria	SRR11494652|Australia: Victoria	SRR11494653|Australia: Victoria	SRR11494655|Australia: Victoria	SRR11494656|Australia: Victoria	SRR11494659|Australia: Victoria	SRR11494668|Australia: Victoria	SRR11494671|Australia: Victoria	SRR11494674|Australia: Victoria	SRR11494682|Australia: Victoria	SRR11494687|Australia: Victoria	SRR11494688|Australia: Victoria	SRR11494696|Australia: Victoria	SRR11494698|Australia: Victoria	SRR11494703|Australia: Victoria	SRR11494709|Australia: Victoria	SRR11494714|Australia: Victoria	SRR11494715|Australia: Victoria	SRR11494719|Australia: Victoria	SRR11494725|Australia: Victoria	SRR11494727|Australia: Victoria	SRR11494728|Australia: Victoria	SRR11494730|Australia: Victoria	SRR11494740|Australia: Victoria	SRR11494742|Australia: Victoria	SRR11494743|Australia: Victoria	SRR11494744|Australia: Victoria	SRR11494745|Australia: Victoria	SRR11494748|Australia: Victoria	SRR11494753|Australia: Victoria	SRR11494759|Australia: Victoria	SRR11494762|Australia: Northern Territory
0	0.00600801	0.0001	0.00680513	0.0001	0.00113804	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.003486	0.0001	0.00106118	0.000212847	0.00267921	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000339101	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.130161	0.130125	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
1	0.0695395	0.400094	0.0594763	0.294703	0.0748383	0.82794	0.0001	0.0001	0.016575	0.00917824	0.0001	0.00517777	0.0164296	0.0289225	0.0359661	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0213996	0.0001	0.021495	0.0159383	0.0185517	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100352	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100268	0.00879663	0.000100045	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100001	0.0001	0.0001	0.0001	0.000100001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00516239	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00164391	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00136985	0.0001	0.0202072	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000111472	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000639141	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100344	0.000100014	0.0001	0.0001	0.0001
2	0.0001	0.0001	0.0001	0.0001	0.000882627	0.000125641	0.0001	0.0001	0.0001	0.00437069	0.0001	0.00464736	0.00424914	0.00527101	0.0125182	0.0533264	0.0555053	0.0001	0.0001	0.0001	0.0001	0.0001	0.00142178	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00122726	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00033774	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100204	0.0001	0.0001	0.0001	0.0001	0.000100005	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000154665	0.00108972	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000383832	0.0001	0.0001	0.0001	0.000704769	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00123363	0.0001	0.0001	0.000351168	0.0001	0.0001	0.0001	0.0001	0.0001	0.000608169	0.0001	0.00150129	0.0001
3	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100277	0.000196969	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000153436	0.285846	0.0001	0.0001	0.0001	0.0001	0.000105968	0.12496	0.0001	0.0001	0.000650374	0.0001	0.0001	0.0001	0.162427	0.0001	0.0001	0.601785	0.223677	0.161664	0.0101595	0.22367	0.0001	0.595199	0.00363493	0.224892	0.601567	0.224245	0.223678	0.585729	0.605419	0.222057	0.226344	0.605452	0.221301	0.180787	0.100723	0.604961	0.00486878	0.00067195	0.0001	0.0001	0.0001	0.000380836	0.605492	0.0001	0.0001	0.59478	0.286516	0.0001	0.000347786	0.0001	0.0001	0.0001	0.285815	0.0001	0.605567	0.0001	0.0001	0.0001	0.0001	0.605331	0.0001	0.00136743	0.0001	0.0001	0.597621	0.0001	0.605504	0.0001	0.0001	0.553086	0.0001	0.000458515	0.0001	0.000459486	0.000383324	0.605485	0.00187647	0.0001	0.0001	0.228002	0.605484	0.605437	0.0001	0.0001	0.0001	0.605471	0.000110611	0.223904	0.0001	0.596717	0.000762512	0.605484	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0118076	0.601516	0.0001	0.224626	0.0001	0.605142	0.604801	0.0001	0.000422212	0.605614	0.0001	0.223738	0.0001	0.0001	0.60355	0.0001	0.0001	0.605144	0.0001	0.000620162	0.605453	0.0001	0.0001	0.596015	0.0001	0.000930456	0.000724113	0.0001	0.595501	0.0001	0.0001	0.290529	0.00672881	0.28764	0.00183993	0.000581074	0.555376	0.0001	0.0001
4	0.0001	0.000100083	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100001	0.0001	0.0001	0.0001	0.0001	0.0122354	0.0001	0.0001	0.0001	0.0001	0.0122354	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0077117	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100558	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100037	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
5	0.924452	0.599789	0.933699	0.705297	0.905015	0.168934	0.999206	0.971202	0.743044	0.34029	0.675183	0.340821	0.323846	0.319193	0.36063	0.713876	0.737042	0.307349	0.97753	0.295453	0.802695	0.279064	0.272527	0.997007	0.994144	0.93491	0.994481	0.698084	0.974078	0.808358	0.975454	0.97744	0.974105	0.642904	0.396466	0.305465	0.303403	0.389523	0.299971	0.396294	0.275476	0.299964	0.666849	0.351498	0.310381	0.300179	0.390457	0.297138	0.29909	0.385782	0.349633	0.302488	0.290981	0.394422	0.304121	0.368597	0.403742	0.310779	0.694145	0.302646	0.296143	0.335041	0.298448	0.270751	0.372886	0.297682	0.94944	0.367672	0.279144	0.319053	0.6601	0.298517	0.802681	0.802693	0.279016	0.299307	0.333852	0.323781	0.316923	0.292446	0.266917	0.311876	0.0881337	0.658805	0.307768	0.30681	0.352419	0.29788	0.357372	0.300569	0.270036	0.312387	0.759044	0.660332	0.186652	0.291712	0.659098	0.377049	0.29652	0.298331	0.298531	0.232361	0.377874	0.377702	0.83563	0.97658	0.296854	0.377712	0.642119	0.178607	0.30266	0.351718	0.0906304	0.377696	0.38026	0.379872	0.0898084	0.978067	0.866771	0.0912646	0.300101	0.307466	0.953865	0.373882	0.298442	0.300169	0.937541	0.386469	0.37806	0.764574	0.659288	0.308912	0.760432	0.299971	0.941421	0.30672	0.392805	0.303199	0.94174	0.387875	0.976006	0.304113	0.393967	0.282941	0.940882	0.349906	0.0912497	0.29755	0.311915	0.298521	0.351087	0.303352	0.297538	0.0824126	0.532404	0.0790241	0.262054	0.302293	0.38637	0.314555	0.964042
6	0.0001	0.0001	0.0001	0.0001	0.015335	0.00182935	0.0001	0.0001	0.00160656	0.000434063	0.000116188	0.000277056	0.00163472	0.000598457	0.000239752	0.000663922	0.000509567	0.000100361	0.000798788	0.000930568	0.00171286	0.0001	0.0159589	0.0001	0.0001	0.000132497	0.00164605	0.000100106	0.000406061	0.000474852	0.000489575	0.0017862	0.00153837	0.000338051	0.0001	0.000101481	0.000101397	0.000897566	0.0001	0.0001	0.697424	0.0001	0.0001	0.000947387	0.0001	0.0001	0.000662372	0.0001	0.0001	0.000558143	0.00263648	0.0001	0.0001	0.0001	0.000101078	0.0001	0.000100004	0.000519378	0.00614769	0.000165565	0.000100451	0.000101338	0.000102142	0.72883	0.00387111	0.000102568	0.00532097	0.00115898	0.0001	0.000102096	0.00311142	0.000100686	0.00177415	0.00174425	0.0001	0.000100603	0.000733421	0.000101339	0.0001012	0.00363562	0.72883	0.00223376	0.000149596	0.00237837	0.000101582	0.000103342	0.000934534	0.000105173	0.00138194	0.000100812	0.728829	0.000656295	0.00148313	0.00258343	0.000281013	0.000561642	0.00348342	0.00084314	0.00010062	0.000118328	0.000104193	0.103276	0.000847074	0.000834646	0.000346888	0.00148294	0.000102562	0.000828152	0.00159802	0.0001	0.000101102	0.00103283	0.000100112	0.00084848	0.0001063	0.000113727	0.000127516	0.000104544	0.000526742	0.0001	0.000162537	0.000455591	0.00256628	0.0010812	0.000106039	0.000100001	0.00434539	0.00154398	0.00110804	0.00109177	0.00264558	0.000899761	0.00144848	0.0001	0.00168819	0.0001	0.000720933	0.000159777	0.00177619	0.00105769	0.0001	0.000110719	0.0001	0.716854	0.00176261	0.0018448	0.000104458	0.000100177	0.000164789	0.000101859	0.000758526	0.000126978	0.000100656	0.00026074	0.000100027	0.000154126	0.00414562	0.000194716	0.00107218	0.000217554	0.000724931
7	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000103225	0.0001	0.00010317	0.000103021	0.000103281	0.000101408	0.0001	0.0001	0.0001	0.0001	0.000100054	0.0001	0.0362101	0.00815858	0.0001	0.0001	0.0001	0.0001	0.000119883	0.0001	0.000210823	0.0001	0.000100003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000357857	0.0001	0.00010182	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000830484	0.000125737	0.0001	0.0234809	0.00161158	0.0001	0.0001	0.000100689	0.00010011	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0363056	0.0001	0.0001	0.0001	0.0001	0.0001	0.0362605	0.0001	0.0001	0.0001	0.0001	0.0001	0.000707118	0.0001	0.000273385	0.0001	0.0001	0.0001	0.0001	0.00010027	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100127	0.0001	0.0001	0.0001	0.0001	0.000296477	0.0001	0.000100005	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000289088	0.0001	0.0001	0.0001	0.00010059	0.000101288	0.0001	0.0001	0.000100103	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100448	0.0001	0.0001	0.0001	0.000100526	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100146	0.000101437	0.0001	0.0001	0.00010064	0.000100174	0.0001	0.0001	0.000179284	0.0001	0.000100275	0.0001	0.000101388	0.0001
8	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00499379	0.0827055	0.00383269	0.00330734	0.00317371	0.00265686	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00428997	0.0001	0.0031825	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0016677	0.0001	0.0001	0.0029661	0.000878795	0.00283939	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000666075	0.0001	0.0001	0.0001	0.000100566	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000373791	0.0001	0.0001	0.0001	0.0001	0.000101162	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100028	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000296351	0.00147155	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000536619	0.0001	0.0001	0.0001	0.000330498	0.000407988	0.0001	0.0001	0.0001	0.0001	0.0001	0.00136095	0.0001	0.0001	0.000597741	0.0001	0.0001	0.0001	0.0001	0.0001	0.000137619	0.0001	0.00138778	0.0001
9	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100152	0.0001	0.000100239	0.000652496	0.000100551	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00010004	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.00135817	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.431879	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.000100997	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.240691	0.0001	0.0001	0.0001	0.0001
