strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	1	0	0.0870283	0.115683	0	0.0673946	0	0	0	0.0785087	0	0.0796815	0	0	0.529004	0.428653	0.224241	0.495203	0	0	0	0	0	0	0	0.192226	0	1	0	1	0	0.172807	0	0.0412309	0	0	0	0	0	0	0	0.0596739	0	0	0	0	0.082174	0	0.340557
1	0	0	0	0	0	0	0	0.142911	0	0.371435	0.123099	0	0	0	0	0	0	0	0.115031	0	0	0.391627	0	0	0.255163	0	0	0	0	0	0	0	0.283237	0	0	0	0.600412	0.280798	0	0	0	0	0	0.849153	0	0.407868	0	0.212142	0	0
2	0	0	0	0	0	0	0.127846	0	0	0	0.233442	0	0.773485	0.00808425	0.137181	0.280634	0.571347	0	0.241613	0	0	0	0.389525	0	0	0	0.390288	0.677852	0	0.404162	0	0	0	0	0	1	0	0.0588119	0	0	0.359171	0	0	0	0	0	0	0	0.0581922	0
3	0.31819	0	0	0	0	1	0	0.221994	0	0	0.310558	0	0.146833	0.28905	0	0	0	0	0	0	0	0.00615676	0	0	0	0	0	0.322148	0	0.595838	0	0.0375171	0.0585204	0.0902899	0	0	0	0	0	0	0.169134	0	0	0	0.737306	0	0	0.000864805	0	0
4	0.68181	0	0	0.2676	0.0100894	0	0.631628	0	0	0.0276811	0	0	0	0	0	0.190362	0	0	0.135391	0	0	0	0	0	0	0	0.0241321	0	0	0	0	0	0.460291	0.889363	0.0145804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193082
5	0	0	0.919429	0	0.874228	0	0	0	1	0.251706	0	0	0	0.12165	0.61386	0	0	0.264634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148494	0	0	0.214184	0	0	0	0.109597	0.940326	0	0	0.249777	0	0	0	0
6	0	0	0	0.645372	0	0	0.173132	0.635096	0	0.317717	0.0668973	0	0	0.37747	0	0	0	0	0	0	0	0	0	0	0.101632	0	0.236018	0	0	0	0	0	0.025144	0	0	0	0	0	1	0	0	0	0	0.150847	0	0	0	0.189312	0	0.0746235
7	0	0	0.0805713	0	0	0	0	0	0	0	0	0	0	0.203746	0	0	0	0.182097	0	0.872164	0	0.0912159	0	0	0	0	0.157336	0	0	0	0	0	0	0	0	0	0.399588	0.403542	0	0.25561	0	0.890403	0	0	0	0.342355	0	0.0262452	0.900626	0
8	0	0	0	0	0	0	0	0	0	0	0.187495	1	0	0	0	0	0	0.173221	0.0127608	0.127836	1	0	0	1	0.0235848	1	0	0	0	0	0	0.663008	0	0.020347	0.929339	0	0	0	0	0.74439	0	0	0	0	0.145954	0	0	0.0177755	0.0411821	0.295916
9	0	0	0	0	0	0	0	0	0	0.0314606	0	0	0	0	0.248959	0	0	0.155806	0	0	0	0.511	0.610475	0	0.61962	0	0	0	0	0	0	0.299475	0	0	0	0	0	0.0426639	0	0	0.471696	0	0	0	0.116741	0	1	0.471487	0	0.0958221
