strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	0.773942	0	0.478001	0.206002	0	0.757359	0	0	0	0.0180979	0	0.491804	0	0	0.0499067	0.457873	1	0	0	0	0	0	0	0	0	0	0	0.511217	0	0.264684	0.0522873	0.354261	0.467203	0.0514743	0	0	0	0	0.0181738	0	0	0	0	0	0.0199503	0	0	0	0
1	0	0	0	0	0	0	0	1	0.00607158	0	0.0159374	0	0	0	0	0.234657	0	0	0	0	0.279277	0.063838	0.226764	0	0.570845	0	0	0	0.0588056	0	0	0	0.229824	0	0	0	0.923925	0.0535357	0	0	0	0	0	0.380566	0	0.15446	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0.555493	0.0829636	0.309295	0	0.3105	0.0584301	0.542127	0	0.322421	0	0	0	0.0751857	0	0	0	0	1	0	0.0707495	0.667435	0	0.0771429	0.299516	0	1	0	0	0	0	0.0117164	0	0	0	0	0.394961	0	0	0.587158	0
3	0.0543332	0	0	0	0	0.391638	0	0	0	0	0	0	0.198901	0.246657	0	0	0	0	0	0	0	0.00644852	0	0	0	0	0	0	0.429978	0.92925	0.0678806	0.346992	0.172472	0.217095	0	0	0	0	0.0422603	0	0.410202	0	0	0	0.173638	0	0	0	0	0
4	0.651348	0	0	0.0455672	0.793998	0	0.129703	0	0	0	0	0	0	0	0	0.657006	0	0	0.220808	0	0	0	0.605825	0.307883	0	0	0.0917722	0	0	0	0	0.50966	0.0994972	0.00666746	0.0753578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0.0621942	0.0869201	0	0	0.0269793	0	0	0.278672	0.12004	0	0.895407	0	0.0454381	0.427826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0395815	0	0	0	0	0	0	0.0866841	1	0	0	0.0265476	0	0	0	0
6	0	0	0	0.476432	0	0	0.112938	0	0	0.22146	0	0	0	0.487766	0	0	0	0	0	0	0.432524	0	0	0.551373	0.135127	0.802094	0.461116	0	0	0	0	0	0.0370128	0.0032115	0	0	0	0	0.293294	0	0	0	0	0.619434	0.183274	0.397915	0	0	0	0.104735
7	0.294319	0.163864	0.91308	0	0	0	0	0	0.249576	0	0	0	0	0.220139	0	0	0	0	0	0.485887	0	0.929713	0	0	0	0	0.447112	0	0	0	0	0	0	0	0.190052	0	0.0760745	0	0	0.272089	0	0.913316	0	0	0.00960721	0.00616618	0	0.417589	0.295678	0
8	0	0	0	0	0	0.581383	0	0	0.311639	0	0.410472	0.0146562	0	0	0	0	0	0	0.456771	0.514113	0.288199	0	0	0.140745	0.294028	0.197906	0	0	0	0	0	0.0223141	0.0297908	0.00630684	0.643535	0	0	0	0.664445	0.709737	0	0	0	0	0.431093	0	0	0	0.117164	0
9	0	0	0	0	0	0	0	0	0.154042	0.658501	0	0.00697323	0	0	0.261674	0	0	0	0	0	0	0	0.0922244	0	0	0	0	0	0	0	0	0.0687467	0	0	0	0	0	0.946464	0	0	0.578081	0	0	0	0.202387	0	1	0.582411	0	0.895265
